Timestamp: 586514329.773625	 X: 1059.06313014623 Y:360.395839993105
Timestamp: 586514340.623537	 X: 1073.75171900266 Y:363.989347904057
Timestamp: 586514351.858132	 X: 1080.99093450095 Y:365.845702762413
Timestamp: 586514363.17853	 X: 1105.70511372892 Y:366.601371040876
Timestamp: 586514374.46239	 X: 1110.05018363047 Y:366.442551857961
Timestamp: 586514385.101692	 X: 1114.03786392642 Y:365.852790633559
Timestamp: 586514396.404437	 X: 1108.35982839856 Y:363.429746216978
Timestamp: 586514407.979374	 X: 1106.79773549647 Y:360.937886181045
Timestamp: 586514418.486481	 X: 1093.08951522177 Y:357.137360080658
Timestamp: 586514429.682894	 X: 1064.8402234931 Y:346.5327331165
Timestamp: 586514441.126456	 X: 1091.61461675497 Y:365.664297128843
Timestamp: 586514451.733326	 X: 1099.30678793191 Y:369.571070629771
Timestamp: 586514463.014312	 X: 1110.46926901608 Y:377.476979239185
Timestamp: 586514474.413945	 X: 1117.47922907996 Y:381.253681364801
Timestamp: 586514484.865628	 X: 1133.07603203923 Y:390.245414721053
Timestamp: 586514496.528833	 X: 1139.83725554052 Y:397.325854421147
Timestamp: 586514507.680497	 X: 1141.26125779999 Y:401.893552397659
Timestamp: 586514518.363727	 X: 1143.65737678124 Y:404.092827513381
Timestamp: 586514529.833154	 X: 1141.9591574399 Y:407.592975204878
Timestamp: 586514541.173259	 X: 1141.76715902921 Y:407.140870208664
Timestamp: 586514551.56377	 X: 1129.95978230573 Y:396.984412533562
Timestamp: 586514563.175246	 X: 1122.45188968338 Y:400.384346964704
Timestamp: 586514574.366733	 X: 1065.08501933424 Y:417.293646169431
Timestamp: 586514584.879176	 X: 896.927796314163 Y:463.54291756739
Timestamp: 586514596.127729	 X: 893.173500751584 Y:464.173259689544
Timestamp: 586514607.73551	 X: 887.523783240715 Y:464.440767506269
Timestamp: 586514618.279155	 X: 887.625455654021 Y:463.356593416183
Timestamp: 586514629.663188	 X: 881.996003447974 Y:463.227208420606
Timestamp: 586514641.167922	 X: 868.638653562989 Y:464.340481160385
Timestamp: 586514651.61632	 X: 867.78615664147 Y:455.083200629108
Timestamp: 586514662.65262	 X: 865.092542447204 Y:453.069592308897
Timestamp: 586514674.479222	 X: 863.799879071918 Y:446.404275528417
Timestamp: 586514685.07706	 X: 866.11959864636 Y:448.718768705467
Timestamp: 586514696.422091	 X: 865.833387960988 Y:445.52818822009
Timestamp: 586514707.658738	 X: 866.152857599035 Y:442.269518795272
Timestamp: 586514718.061976	 X: 866.373738160398 Y:439.302762782468
Timestamp: 586514729.808111	 X: 866.04768750218 Y:437.041917418886
Timestamp: 586514741.35472	 X: 865.597718070618 Y:436.274854310659
Timestamp: 586514751.659017	 X: 865.268602422292 Y:436.304850724418
Timestamp: 586514763.008975	 X: 865.894262059288 Y:436.385313406032
Timestamp: 586514774.469369	 X: 866.967654499037 Y:438.21450635198
Timestamp: 586514784.78393	 X: 866.640584520134 Y:439.813350603531
Timestamp: 586514796.145793	 X: 862.826881253774 Y:449.395077244461
Timestamp: 586514807.497804	 X: 864.603691768024 Y:446.319971689117
Timestamp: 586514818.271355	 X: 865.445823279939 Y:443.342862759646
Timestamp: 586514829.60489	 X: 869.008760539843 Y:437.06580804611
Timestamp: 586514841.00904	 X: 870.790950387377 Y:434.83667252323
Timestamp: 586514851.668049	 X: 872.331647508667 Y:430.481581190887
Timestamp: 586514862.981879	 X: 872.94196890143 Y:428.124552894767
Timestamp: 586514874.167207	 X: 873.939656436044 Y:427.00274992795
Timestamp: 586514884.517485	 X: 874.74663704837 Y:425.919506786762
Timestamp: 586514896.250893	 X: 880.346677567098 Y:412.531050651001
Timestamp: 586514907.864832	 X: 878.162704500229 Y:418.555849563195
Timestamp: 586514917.963445	 X: 880.698225130732 Y:417.072146464034
Timestamp: 586514929.686179	 X: 890.292200138372 Y:413.866006890125
Timestamp: 586514940.311112	 X: 893.341631505719 Y:411.525861300691
Timestamp: 586514951.434859	 X: 892.192677061301 Y:410.771157007979
Timestamp: 586514962.99789	 X: 900.314999632109 Y:395.669292813522
Timestamp: 586514973.731207	 X: 905.531783270993 Y:387.852152241371
Timestamp: 586514984.865218	 X: 904.664985968158 Y:388.822490929675
Timestamp: 586514995.965974	 X: 905.867988243312 Y:376.110256083547
Timestamp: 586515007.452233	 X: 906.492042949378 Y:374.852057497102
Timestamp: 586515018.16297	 X: 909.647654849538 Y:374.858256595519
Timestamp: 586515029.675504	 X: 927.660609656714 Y:389.106611676496
Timestamp: 586515041.07678	 X: 925.514595404919 Y:385.693701576084
Timestamp: 586515051.229996	 X: 921.931600708039 Y:384.459162473183
Timestamp: 586515063.019649	 X: 923.258729809299 Y:384.082115019943
Timestamp: 586515074.118352	 X: 925.774412870803 Y:379.649032006068
Timestamp: 586515084.91202	 X: 925.530194373747 Y:378.80234680343
Timestamp: 586515095.341533	 X: 932.373360609799 Y:383.206059241043
Timestamp: 586515107.542964	 X: 928.931786801778 Y:380.702163642989
Timestamp: 586515118.030364	 X: 928.991780802785 Y:380.883044162089
Timestamp: 586515129.119214	 X: 928.053291310407 Y:380.625014868869
Timestamp: 586515140.391579	 X: 925.015349543463 Y:376.105710166148
Timestamp: 586515151.207416	 X: 923.125815652898 Y:374.503311081598
Timestamp: 586515162.923991	 X: 905.968324198277 Y:373.554317831718
Timestamp: 586515174.019821	 X: 907.513215889157 Y:375.587481537875
Timestamp: 586515184.552792	 X: 908.685230646138 Y:376.892177878011
Timestamp: 586515196.106791	 X: 907.603790600083 Y:376.629542847023
Timestamp: 586515206.959167	 X: 907.363070931837 Y:376.595616880323
Timestamp: 586515218.180213	 X: 905.563994073364 Y:376.174614693296
Timestamp: 586515229.960834	 X: 904.627133969338 Y:375.47904107697
Timestamp: 586515240.688814	 X: 906.43336385287 Y:378.741974855391
Timestamp: 586515251.24806	 X: 907.408904890176 Y:380.777086231712
Timestamp: 586515262.763468	 X: 906.983762026035 Y:378.995219483816
Timestamp: 586515273.546051	 X: 888.472054514622 Y:360.757904099712
Timestamp: 586515284.361888	 X: 887.591864985183 Y:359.417835775558
Timestamp: 586515296.271831	 X: 887.253499054754 Y:359.157175502114
Timestamp: 586515306.810549	 X: 884.6225253915 Y:356.101756150657
Timestamp: 586515317.772541	 X: 887.089182995703 Y:358.084626084964
Timestamp: 586515329.023557	 X: 901.52055178916 Y:365.021187457856
Timestamp: 586515339.852942	 X: 902.650234498809 Y:365.058021350692
Timestamp: 586515351.003785	 X: 903.816107478196 Y:369.914508889623
Timestamp: 586515362.895253	 X: 901.548674913177 Y:368.323772297692
Timestamp: 586515373.529219	 X: 884.922782500997 Y:364.248912095447
Timestamp: 586515384.531854	 X: 883.79030947563 Y:364.126982284685
Timestamp: 586515395.967206	 X: 891.397486736843 Y:368.305103059948
Timestamp: 586515406.688617	 X: 885.997745256561 Y:367.922577747882
Timestamp: 586515417.9072	 X: 888.005480644501 Y:370.473878293573
Timestamp: 586515429.179975	 X: 880.302691062009 Y:372.827444634118
Timestamp: 586515440.182611	 X: 820.955032491824 Y:488.657205803311
Timestamp: 586515451.016102	 X: 811.231785371093 Y:500.063652601355
Timestamp: 586515462.143543	 X: 804.9590770438 Y:521.301778192525
Timestamp: 586515473.554262	 X: 799.592014383034 Y:533.227286179939
Timestamp: 586515484.37831	 X: 793.605187380629 Y:545.135399974393
Timestamp: 586515495.488919	 X: 780.623961794704 Y:569.053040912427
Timestamp: 586515506.909491	 X: 774.14944124161 Y:581.779359131503
Timestamp: 586515517.653893	 X: 769.518274174799 Y:590.745037859524
Timestamp: 586515529.069128	 X: 759.582881276822 Y:608.406476608081
Timestamp: 586515540.446592	 X: 759.912292893024 Y:607.839979082072
Timestamp: 586515551.050587	 X: 757.133756939989 Y:610.103251952329
Timestamp: 586515562.59227	 X: 757.936314738149 Y:609.015307776445
Timestamp: 586515573.694258	 X: 760.707114973663 Y:609.503543431152
Timestamp: 586515584.283474	 X: 761.458608227179 Y:609.135541652207
Timestamp: 586515596.098991	 X: 760.439723838288 Y:608.483091187674
Timestamp: 586515607.334406	 X: 760.372945295899 Y:608.447948788589
Timestamp: 586515617.436304	 X: 760.547691149052 Y:608.911166353601
Timestamp: 586515629.482548	 X: 760.415344239984 Y:609.487123664503
Timestamp: 586515640.22695	 X: 759.45345687641 Y:610.018910511031
Timestamp: 586515650.901149	 X: 741.086395346009 Y:623.442083227225
Timestamp: 586515662.570511	 X: 691.443473434304 Y:649.17649440798
Timestamp: 586515673.447109	 X: 681.781937700287 Y:653.800669824786
Timestamp: 586515684.595078	 X: 674.74654159541 Y:656.289637367789
Timestamp: 586515695.764806	 X: 669.196329250251 Y:657.27148779319
Timestamp: 586515706.874595	 X: 664.861227264742 Y:657.978967642413
Timestamp: 586515717.364458	 X: 660.365148435961 Y:659.096447477899
Timestamp: 586515728.882329	 X: 648.720057225196 Y:661.249814576548
Timestamp: 586515740.115281	 X: 642.782220152034 Y:661.850729098136
Timestamp: 586515750.592008	 X: 642.884862362907 Y:663.154923725795
Timestamp: 586515762.071698	 X: 642.788043805515 Y:659.618771632766
Timestamp: 586515773.674141	 X: 642.766726910258 Y:658.595766564771
Timestamp: 586515784.097086	 X: 642.772079187241 Y:658.316831580831
Timestamp: 586515795.423643	 X: 643.069947942172 Y:658.652167394924
Timestamp: 586515806.287924	 X: 643.12820530127 Y:658.366766917368
Timestamp: 586515817.38088	 X: 643.007441672811 Y:658.523983410997
Timestamp: 586515828.677877	 X: 641.123357357725 Y:657.507430749466
Timestamp: 586515840.270057	 X: 642.908204976728 Y:662.402079841464
Timestamp: 586515850.815345	 X: 650.249814211023 Y:684.704634379935
Timestamp: 586515861.955103	 X: 650.499793457663 Y:686.692426487157
Timestamp: 586515872.975392	 X: 651.025836064285 Y:692.020659796925
Timestamp: 586515884.022367	 X: 651.245251849841 Y:695.570625538362
Timestamp: 586515895.847326	 X: 656.411351331106 Y:719.978064604788
Timestamp: 586515906.723924	 X: 659.447184484373 Y:725.294200600442
Timestamp: 586515917.304108	 X: 659.869579750252 Y:724.695727816898
Timestamp: 586515929.058454	 X: 662.579587953129 Y:725.437651623821
Timestamp: 586515939.99376	 X: 663.184499812303 Y:729.56393706203
Timestamp: 586515950.762795	 X: 659.957238353798 Y:729.613074791947
Timestamp: 586515962.282308	 X: 660.683318747596 Y:730.052413119219
Timestamp: 586515973.322714	 X: 661.734606272264 Y:731.112798668432
Timestamp: 586515983.858148	 X: 661.31641051493 Y:731.980049428997
Timestamp: 586515995.706919	 X: 660.383497804213 Y:732.181507085655
Timestamp: 586516006.139306	 X: 659.897862739256 Y:731.990900622921
Timestamp: 586516017.188334	 X: 659.719133416472 Y:732.021631476952
Timestamp: 586516028.831011	 X: 659.447871865824 Y:731.475527345884
Timestamp: 586516039.440344	 X: 659.136479276383 Y:731.789684674498
Timestamp: 586516050.628546	 X: 658.86406549467 Y:730.835475502487
Timestamp: 586516062.491276	 X: 658.424863300115 Y:730.196900948395
Timestamp: 586516073.31943	 X: 661.364664298051 Y:729.022234657578
Timestamp: 586516083.924657	 X: 663.567417543944 Y:727.954566023089
Timestamp: 586516095.663401	 X: 663.197561916325 Y:728.679882181698
Timestamp: 586516106.083062	 X: 664.290064973602 Y:729.055281964047
Timestamp: 586516117.32094	 X: 664.063958855899 Y:729.441082700294
Timestamp: 586516128.973881	 X: 664.453040633694 Y:729.296938762222
Timestamp: 586516139.739221	 X: 662.425725490108 Y:726.463652373839
Timestamp: 586516150.520162	 X: 657.29519807375 Y:719.112402102242
Timestamp: 586516162.132459	 X: 652.468600032766 Y:711.848923307067
Timestamp: 586516173.486111	 X: 652.165588973691 Y:711.216607697362
Timestamp: 586516183.802724	 X: 652.0828141854 Y:711.137777919143
Timestamp: 586516195.296373	 X: 648.363213564213 Y:702.528485358322
Timestamp: 586516206.241532	 X: 647.759420090025 Y:701.710565601194
Timestamp: 586516217.097193	 X: 646.558487320991 Y:698.306564936986
Timestamp: 586516228.980039	 X: 646.228021328041 Y:697.392232407366
Timestamp: 586516239.792592	 X: 646.518779129322 Y:696.317424296186
Timestamp: 586516250.577228	 X: 647.560136270263 Y:693.998942283973
Timestamp: 586516262.183777	 X: 648.801180687776 Y:691.526432593722
Timestamp: 586516273.10964	 X: 648.733032243996 Y:692.583248855938
Timestamp: 586516283.758796	 X: 649.835044236853 Y:692.562429202915
Timestamp: 586516295.312384	 X: 650.347092316522 Y:693.237299448679
Timestamp: 586516306.613898	 X: 650.609973183521 Y:693.613733135364
Timestamp: 586516317.283991	 X: 651.795708065132 Y:693.521573821779
Timestamp: 586516329.008367	 X: 652.001339354707 Y:692.734558149035
Timestamp: 586516339.604151	 X: 652.062783936613 Y:693.686149100972
Timestamp: 586516350.471717	 X: 655.536138785619 Y:695.982768822388
Timestamp: 586516361.74983	 X: 655.530141029913 Y:696.092839214622
Timestamp: 586516373.020962	 X: 655.385412888586 Y:696.345406767907
Timestamp: 586516383.908645	 X: 655.131389289263 Y:696.671591771425
Timestamp: 586516395.566923	 X: 655.599422211948 Y:697.159118446078
Timestamp: 586516406.362644	 X: 657.118208732234 Y:699.177273362314
Timestamp: 586516417.29056	 X: 659.003564108129 Y:700.773344897521
Timestamp: 586516428.728374	 X: 660.374496959339 Y:703.204583486968
Timestamp: 586516439.16733	 X: 660.012948554467 Y:703.868192369847
Timestamp: 586516450.427378	 X: 659.754108248897 Y:704.882804559337
Timestamp: 586516461.931291	 X: 655.947137867688 Y:702.636194498753
Timestamp: 586516472.692936	 X: 657.197473149037 Y:703.546496598536
Timestamp: 586516483.64918	 X: 653.023431875536 Y:699.391999341454
